svznr,zstart,klasse,nummer,gpsx1,gpsy1,RI,RII,DTV2024,DTVSV
71191236,TM,L,1180,8.904528,48.81611099999999,"Perouse, Wilhelm Koppstraße",K1013 KV Perouse,7180,248
71191234,TM,L,1177,8.908311,48.85044899999997,L 1134 / L 1177 bei Mönsheim,L1177/K1018 Weissach,3693,165
71191409,TM,K,1017,8.933367000000002,48.819779000000025,"K1013/K1017 bei Flacht, Kreisverkehr","K 1017/K 1082 bei Rutesheim, Kreisverkehr 1",5923,216
71191237,TM,K,1060,8.931579999999997,48.81054200000001,K1082 Bürger King,K1013 Kreisverkehr Brunnen,4220,179
71191413,TM,K,1082,8.945345999999994,48.81717599999997,"K 1017/K 1082 bei Rutesheim, Kreisverkehr 1","K 1082/ K 1017 bei Rutesheim, Kreisverkehr 2",10167,373
71191414,TM,K,1082,8.953736000000001,48.81451500000001,"K 1082/ K 1017 bei Rutesheim, Kreisverkehr 2","K 1059/K 1082 bei Rutesheim, Kreisverkehr",9917,285
71191412,TM,K,1082,8.934363999999995,48.81489299999996,K1060 Bürger King,K1017 KV Flacht,6533,262
71191415,TM,K,1017,8.952158999999998,48.82148100000001,"K 1082/ K 1017 bei Rutesheim, Kreisverkehr 2",K 1017/K 1653 Kreisgrenze LK Böblingen/LK Ludwigsburg,6081,335
71191407,TM,K,1011,8.987791000000001,48.80598899999999,K 1011/K 1082 bei Leonberg,K1011/K1059 Gebersheim,4578,126
71191408,TM,K,1059,8.986487999999992,48.81179900001091,K1011/K1059 Gebersheim,L 1136/K 1059 Leonberg-Höfingen,7266,137
72191413,TM,K,1015,8.920483,48.76756699999997,Kreisverkehr K1060 Renningen,Kreisverkehr Malmsheim,7312,168
73201423,TM,K,1074,9.032075000000006,48.63910100001066,B 464 /K 1074 bei Holzgerlingen,K 1048/K 1074 bei Holzgerlingen,10087,235
73201419,TM,K,1048,9.040556000000006,48.63857400001069,K 1048/K 1074 bei Holzgerlingen,K 1048/K 1049 bei Weil im Schönbuch-Breitenstein,5277,164
73201415,TM,K,1048,9.05617000000002,48.63784200001071,K 1048/K 1049 bei Weil im Schönbuch-Breitenstein,L 1185/K 1048 bei Schönaich,2066,128
73201416,TM,K,1049,9.055810000000006,48.63400200001072,K 1048/K 1049 bei Weil im Schönbuch-Breitenstein,K 1049/K 1062 bei Weil im Schönbuch,4833,88
73201414,TM,K,1062,9.07934000000002,48.61463700001064,B 464/K 1062 bei Weil im Schönbuch,K 1062/K 6947 Kreisgrenze westl. Dettenhausen,2669,78
73201422,TM,K,1058,9.058203999999996,48.61175099999999,B 464/K 1058 bei Weil im Schönbuch,K 1058 Ende in Weil im Schönbuch,1074,18
73201215,TM,L,1208,9.131906999999998,48.626982000000005,"L 1208 Kreisgrenze nördl. Dettenhausen, LK Tübingen/LK BB ","L 1208/K 1050 Waldenbuch, Kreisverkehr",5340,236
73191417,TM,K,1001,8.995915000000002,48.64678900000001,K 1000/K 1001 Ehningen,"K 1001/ B 464 bei Holzgerlingen, Kreisverkehr",2349,22
73201113,TM,B,464,9.006514999999998,48.63939799999999,B 464/K 1001 bei Holzgerlingen,"B 464/L 1184 bei Holzgerlingen, Kreisverkehr oben",27931,1106
73201114,TM,B,464,9.011181999999996,48.63187400000003,"B 464/L 1184 bei Holzgerlingen, Kreisverkehr oben",B 464 /K 1074 bei Holzgerlingen,24374,1051
73201112,TM,B,464,9.021468,48.623516000000016,B 464 /K 1074 bei Holzgerlingen,B 464/K 1062 bei Weil im Schönbuch,18965,667
