Bevölkerung nach Geschlecht, 3 unregelmäßigen Altersgruppen und Nationalität seit 2008 - Zählbezirke Wien | Population by sex, 3 broad age groups and nationality since 2008 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGR3;AUT;FOR
AT13;90100;90104;2014;20140101;1;3;147;19
AT13;90100;90104;2014;20140101;2;1;56;29
AT13;90100;90104;2014;20140101;2;2;364;139
AT13;90100;90104;2014;20140101;2;3;197;19
AT13;90100;90105;2014;20140101;1;1;93;29
AT13;90100;90105;2014;20140101;1;2;536;150
AT13;90100;90105;2014;20140101;1;3;168;20
AT13;90100;90105;2014;20140101;2;1;91;29
AT13;90100;90105;2014;20140101;2;2;544;178
AT13;90100;90105;2014;20140101;2;3;226;14
AT13;90100;90106;2014;20140101;1;1;89;12
AT13;90100;90106;2014;20140101;1;2;654;150
AT13;90100;90106;2014;20140101;1;3;257;22
AT13;90100;90106;2014;20140101;2;1;94;23
AT13;90100;90106;2014;20140101;2;2;675;177
AT13;90100;90106;2014;20140101;2;3;343;30
AT13;90100;90107;2014;20140101;1;1;102;42
AT13;90100;90107;2014;20140101;1;2;637;197
AT13;90100;90107;2014;20140101;1;3;271;38
AT13;90100;90107;2014;20140101;2;1;72;23
AT13;90100;90107;2014;20140101;2;2;571;233
AT13;90100;90107;2014;20140101;2;3;361;48
AT13;90100;90199;2014;20140101;1;1;0;0
AT13;90100;90199;2014;20140101;1;2;0;0
AT13;90100;90199;2014;20140101;1;3;0;0
AT13;90100;90199;2014;20140101;2;1;0;0
AT13;90100;90199;2014;20140101;2;2;0;0
AT13;90100;90199;2014;20140101;2;3;0;0
AT13;90100;90101;2015;20150101;1;1;157;51
AT13;90100;90101;2015;20150101;1;2;889;349
AT13;90100;90101;2015;20150101;1;3;378;56
AT13;90100;90101;2015;20150101;2;1;146;49
AT13;90100;90101;2015;20150101;2;2;945;342
AT13;90100;90101;2015;20150101;2;3;531;55
AT13;90100;90102;2015;20150101;1;1;75;26
AT13;90100;90102;2015;20150101;1;2;345;118
AT13;90100;90102;2015;20150101;1;3;130;15
AT13;90100;90102;2015;20150101;2;1;68;39
AT13;90100;90102;2015;20150101;2;2;321;171
AT13;90100;90102;2015;20150101;2;3;202;16
AT13;90100;90103;2015;20150101;1;1;80;42
AT13;90100;90103;2015;20150101;1;2;439;185
AT13;90100;90103;2015;20150101;1;3;209;44
AT13;90100;90103;2015;20150101;2;1;63;41
AT13;90100;90103;2015;20150101;2;2;453;214
AT13;90100;90103;2015;20150101;2;3;260;34
AT13;90100;90104;2015;20150101;1;1;62;14
AT13;90100;90104;2015;20150101;1;2;357;128
AT13;90100;90104;2015;20150101;1;3;151;20
AT13;90100;90104;2015;20150101;2;1;57;30
AT13;90100;90104;2015;20150101;2;2;346;136
AT13;90100;90104;2015;20150101;2;3;197;23
AT13;90100;90105;2015;20150101;1;1;88;37
AT13;90100;90105;2015;20150101;1;2;527;166
AT13;90100;90105;2015;20150101;1;3;169;18
AT13;90100;90105;2015;20150101;2;1;106;33
