JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT;
2025;DEZ.;1207;Altmannsdorfer Straße II;B;224;Vösendorf;Kfz;24035;25682;24765;25490;27738;24156;19260;28261;Fr,19.12.;
2025;DEZ.;1207;Altmannsdorfer Straße II;B;224;Vösendorf;LkwÄ;826;1125;1126;1105;1207;431;201;1518;Mi,10.12.;
2025;DEZ.;1207;Altmannsdorfer Straße II;B;224;Gesamt;Kfz;43910;46667;44694;46435;50305;43953;36007;50941;Fr,12.12.;
2025;DEZ.;1207;Altmannsdorfer Straße II;B;224;Gesamt;LkwÄ;1578;2160;2117;2126;2362;765;381;2762;*Do,04.12.;
2025;DEZ.;1208;Wienerbergstraße;B;225;Breitenfurter Straße;Kfz;9376;10844;10503;10793;11524;7993;5970;12653;Do,11.12.;
2025;DEZ.;1208;Wienerbergstraße;B;225;Breitenfurter Straße;LkwÄ;479;591;600;588;592;308;258;707;Mo,01.12.;
2025;DEZ.;1208;Wienerbergstraße;B;225;Triester Straße;Kfz;8752;10288;9984;10210;11029;7181;5262;11578;Do,11.12.;
2025;DEZ.;1208;Wienerbergstraße;B;225;Triester Straße;LkwÄ;511;651;660;644;670;288;237;754;Di,02.12.;
2025;DEZ.;1208;Wienerbergstraße;B;225;Gesamt;Kfz;18128;21132;20487;21003;22553;15174;11232;24231;Do,11.12.;
2025;DEZ.;1208;Wienerbergstraße;B;225;Gesamt;LkwÄ;990;1242;1260;1233;1262;596;496;1454;Mo,01.12.;
2025;DEZ.;1209;Atzgersdorfer Straße;G;0;Stranzenberg Brücke;Kfz;8040;9288;8852;9232;10117;6858;5151;10776;Do,18.12.;
2025;DEZ.;1209;Atzgersdorfer Straße;G;0;Stranzenberg Brücke;LkwÄ;226;291;278;292;306;138;87;454;Do,18.12.;
