C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
201810;W96-9;36;3885;8406
201810;W96-9;92;6604;15256
201810;W96-9;38;10088;18918
201810;W96-9;39;39481;93528
201810;W96-9;96;3237;7213
201810;W96-9;16;29113;69650
201810;W96-9;93;663;1848
201810;W96-9;57;2862;7934
201810;W96-9;58;3066;6996
201810;W96-9;37;7610;18802
201810;W96-9;40;3583;9331
201811;W96-9;01;8184;16268
201811;W96-9;70;9522;16176
201811;W96-9;71;19709;34910
201811;W96-9;72;17082;28441
201811;W96-9;73;31544;52935
201811;W96-9;74;20892;36117
201811;W96-9;75;29474;50197
201811;W96-9;76;21855;40518
201811;W96-9;77;10016;19604
201811;W96-9;80;29711;63256
201811;W96-9;81;13243;30236
201811;W96-9;82;15626;34492
201811;W96-9;83;14418;30787
201811;W96-9;84;12536;27492
201811;W96-9;85;10329;22657
201811;W96-9;53;11492;24682
201811;W96-9;56;2865;6335
201811;W96-9;60;3405;7950
201811;W96-9;62;7523;17869
201811;W96-9;94;2922;7404
201811;W96-9;08;3603;8447
201811;W96-9;67;17897;31754
201811;W96-9;11;2597;5897
201811;W96-9;86;675;1552
201811;W96-9;13;3675;8565
201811;W96-9;14;15093;36238
201811;W96-9;15;4844;11593
201811;W96-9;87;3155;7718
201811;W96-9;18;3924;9379
201811;W96-9;49;240;621
201811;W96-9;19;6332;17425
201811;W96-9;20;28582;68690
201811;W96-9;21;10331;21598
201811;W96-9;22;9656;19106
201811;W96-9;23;3681;9108
201811;W96-9;51;4447;7766
201811;W96-9;88;610;1404
201811;W96-9;89;775;1694
201811;W96-9;63;1127;2465
201811;W96-9;90;870;2402
201811;W96-9;61;436;993
201811;W96-9;25;9137;20513
201811;W96-9;26;2508;5544
201811;W96-9;27;8444;16919
201811;W96-9;28;2460;5739
201811;W96-9;29;16321;34475
201811;W96-9;91;14226;36364
201811;W96-9;95;1151;2808
201811;W96-9;31;4009;8758
201811;W96-9;32;14774;32844
201811;W96-9;10;3056;5618
201811;W96-9;52;4089;7801
201811;W96-9;33;19923;46338
201811;W96-9;34;594;1572
201811;W96-9;17;3115;6551
201811;W96-9;64;7439;13268
201811;W96-9;59;7075;12975
201811;W96-9;65;8297;12954
201811;W96-9;09;11407;18205
201811;W96-9;36;3902;7951
201811;W96-9;92;7622;17472
201811;W96-9;38;10830;19098
201811;W96-9;39;28976;65246
